NOME;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;FASE;TURMA;SINALIZADOR_INGRESSANTE;IDADE_ALUNO;GÊNERO;PEDRA;ATINGIU_PV;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;IPV;IAN;NIVEL_IDEAL;DEFASAGEM
ALUNO-394;2021;Rede Decisão;Escola Privada;Escola Privada;4;F;Veterano;16;INFO INDISPONÍVEL;Ágata;AVANÇO;6.05;7.1;5.3;6.9;5.2;7.2;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;6.7;5;NÃ­vel 6 (2o EM);-2.0
ALUNO-396;2021;Escola Pública;Escola Pública;Escola Pública;5;A;Veterano;16;INFO INDISPONÍVEL;Ametista;MANTIDO;7.59;7.9;8.1;7.5;7.2;7.7;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;8.7;5;NÃ­vel 6 (2o EM);-1.0
ALUNO-397;2021;Rede Decisão;Escola Privada;Escola Privada;3;B;Veterano;13;INFO INDISPONÍVEL;Quartzo;QUEDA;4.26;6.7;2.8;3.1;2.5;4.6;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;3.8;10;NÃ­vel 3 (7o e 8o ano);0.0
ALUNO-400;2021;Escola Pública;Escola Pública;Escola Pública;1;C;Veterano;11;INFO INDISPONÍVEL;Quartzo;MANTIDO;3.73;0.0;3.3;5.6;1.2;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;5.2;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-403;2021;Escola Pública;Escola Pública;Escola Pública;3;D;Ingressante;13;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.88;9.2;7.2;7.5;6.4;7.9;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.5;10;NÃ­vel 3 (7o e 8o ano);0.0
ALUNO-404;2021;Rede Decisão;Escola Privada;Escola Privada;4;G;Veterano;14;INFO INDISPONÍVEL;Topázio;AVANÇO;8.50;8.8;9.2;7.5;7.4;8.9;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;8.3;10;NÃ­vel 4 (9o ano);0.0
ALUNO-405;2021;Escola Pública;Escola Pública;Escola Pública;0;S;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.77;8.5;8.3;7.5;6.0;7.5;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;7.8;10;ALFA  (2o e 3o ano);0.0
ALUNO-406;2021;Escola Pública;Escola Pública;Escola Pública;1;A;Veterano;11;INFO INDISPONÍVEL;Ágata;QUEDA;6.87;9.0;8.3;6.9;6.4;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;5.4;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-407;2021;Rede Decisão;Escola Privada;Escola Privada;4;G;Veterano;14;INFO INDISPONÍVEL;Topázio;AVANÇO;8.47;8.3;8.9;7.5;6.6;9.2;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;9.4;10;NÃ­vel 4 (9o ano);0.0
ALUNO-408;2021;Escola Pública;Escola Pública;Escola Pública;1;C;Veterano;9;INFO INDISPONÍVEL;Topázio;MANTIDO;8.70;9.0;9.2;8.8;7.2;8.8;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.9;10;NÃ­vel 1 (4o ano);0.0
ALUNO-416;2021;Escola Pública;Escola Pública;Escola Pública;2;H;Veterano;14;INFO INDISPONÍVEL;Ametista;MANTIDO;7.35;9.0;8.8;4.4;6.9;7.3;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;8.2;5;NÃ­vel 4 (9o ano);-2.0
ALUNO-421;2021;Escola Pública;Escola Pública;Escola Pública;4;F;Veterano;16;INFO INDISPONÍVEL;Ágata;MANTIDO;6.62;9.2;5.8;7.5;5.8;7.7;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;6.9;5;NÃ­vel 6 (2o EM);-2.0
