NOME;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;FASE;TURMA;SINALIZADOR_INGRESSANTE;IDADE_ALUNO;GÊNERO;PEDRA;ATINGIU_PV;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;IPV;IAN;NIVEL_IDEAL;DEFASAGEM
ALUNO-513;2021;Escola Pública;Escola Pública;Escola Pública;1;F;Veterano;10;INFO INDISPONÍVEL;Ametista;QUEDA;7.29;8.5;7.5;7.5;6.1;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;8.4;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-518;2021;Rede Decisão;Escola Privada;Escola Privada;7;A;Veterano;17;INFO INDISPONÍVEL;Ametista;MANTIDO;7.97;9.6;6.7;7.5;7.9;8.1;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;7.7;10;NÃ­vel 7 (3o EM);0.0
ALUNO-520;2021;Rede Decisão;Escola Privada;Escola Privada;3;L;Veterano;11;INFO INDISPONÍVEL;Topázio;AVANÇO;8.41;7.9;9.7;5.6;7.2;9.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;NÃ£o avaliado;8.9;10;NÃ­vel 2 (5o e 6o ano);1.0
ALUNO-521;2021;Escola Pública;Escola Pública;Escola Pública;2;E;Veterano;11;INFO INDISPONÍVEL;Ametista;QUEDA;7.25;9.5;4.6;7.5;5.3;8.5;Promovido de Fase;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;8.7;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-522;2021;Escola Pública;Escola Pública;Escola Pública;2;P;Veterano;12;INFO INDISPONÍVEL;Ágata;QUEDA;5.87;8.5;4.2;7.5;3.8;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;7.1;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-523;2021;Escola Pública;Escola Pública;Escola Pública;3;D;Ingressante;13;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.08;7.9;5.6;7.5;6.4;6.9;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;7.3;10;NÃ­vel 3 (7o e 8o ano);0.0
ALUNO-524;2021;Escola Pública;Escola Pública;Escola Pública;1;E;Veterano;10;INFO INDISPONÍVEL;Topázio;AVANÇO;8.49;9.5;9.2;7.5;8.4;8.8;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;9.6;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-526;2021;Escola Pública;Escola Pública;Escola Pública;1;F;Ingressante;11;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.63;8.5;8.8;7.5;7.8;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;7.3;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-527;2021;Rede Decisão;Escola Privada;Escola Privada;6;C;Veterano;17;INFO INDISPONÍVEL;Ametista;MANTIDO;7.62;9.2;7.2;7.5;7.1;8.6;Promovido de Fase + Bolsa;Mantido na Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;8.7;5;NÃ­vel 7 (3o EM);-1.0
ALUNO-529;2021;Escola Pública;Escola Pública;Escola Pública;1;N;Ingressante;11;INFO INDISPONÍVEL;Ametista;INGRESSANTE;8.09;8.0;9.6;7.5;8.0;8.1;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;NÃ£o avaliado;8.6;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-531;2021;Escola Pública;Escola Pública;Escola Pública;5;A;Veterano;17;INFO INDISPONÍVEL;Ametista;MANTIDO;7.22;8.8;8.3;7.5;5.7;7.8;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;7.5;5;NÃ­vel 7 (3o EM);-2.0
ALUNO-533;2021;Escola Pública;Escola Pública;Escola Pública;3;B;Veterano;14;INFO INDISPONÍVEL;Ágata;AVANÇO;5.96;9.2;5.3;7.5;4.9;7.8;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;4.9;5;NÃ­vel 4 (9o ano);-1.0
ALUNO-536;2021;Escola Pública;Escola Pública;Escola Pública;1;R;Ingressante;11;INFO INDISPONÍVEL;Quartzo;INGRESSANTE;4.59;8.0;1.7;7.5;3.1;6.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;4.6;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-537;2021;Escola Pública;Escola Pública;Escola Pública;0;M;Ingressante;9;INFO INDISPONÍVEL;Quartzo;INGRESSANTE;4.81;6.3;4.2;7.5;3.4;5.0;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;4.6;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-538;2021;Escola Pública;Escola Pública;Escola Pública;2;J;Ingressante;12;INFO INDISPONÍVEL;Quartzo;INGRESSANTE;4.82;9.0;5.0;5.0;1.1;5.2;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;5.9;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-540;2021;Escola Pública;Escola Pública;Escola Pública;2;I;Veterano;13;INFO INDISPONÍVEL;Ágata;QUEDA;6.08;8.5;5.4;7.5;4.5;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;6.2;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-541;2021;Rede Decisão;Escola Privada;Escola Privada;4;L;Veterano;14;INFO INDISPONÍVEL;Ametista;QUEDA;7.83;9.2;6.9;7.5;6.8;8.1;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Promovido de Fase;8.0;10;NÃ­vel 4 (9o ano);0.0
ALUNO-542;2021;Escola Pública;Escola Pública;Escola Pública;0;R;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.57;8.0;8.3;7.5;7.0;7.8;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;8.3;5;NÃ­vel 2 (5o e 6o ano);-2.0
ALUNO-544;2021;Escola Pública;Escola Pública;Escola Pública;2;R;Veterano;13;INFO INDISPONÍVEL;Ametista;AVANÇO;7.29;9.0;7.9;6.3;6.7;8.1;Promovido de Fase;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;7.7;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-546;2021;Escola Pública;Escola Pública;Escola Pública;6;A;Veterano;19;INFO INDISPONÍVEL;Ágata;AVANÇO;5.73;10.0;7.2;2.5;4.0;4.6;NÃ£o avaliado;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;6.3;5;NÃ­vel 8 (UniversitÃ¡rios);-2.0
ALUNO-547;2021;Escola Pública;Escola Pública;Escola Pública;4;G;Veterano;15;INFO INDISPONÍVEL;Ágata;MANTIDO;6.80;7.5;6.4;6.3;7.1;8.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;7.1;5;NÃ­vel 5 (1o EM);-1.0
ALUNO-548;2021;Escola Pública;Escola Pública;Escola Pública;0;S;Ingressante;9;INFO INDISPONÍVEL;Topázio;INGRESSANTE;8.43;9.5;10.0;7.5;5.3;7.8;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;9.5;10;ALFA  (2o e 3o ano);0.0
ALUNO-550;2021;Escola Pública;Escola Pública;Escola Pública;0;S;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.87;10.0;8.3;7.5;6.9;7.2;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;9.3;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-555;2021;Escola Pública;Escola Pública;Escola Pública;2;J;Veterano;11;INFO INDISPONÍVEL;Topázio;AVANÇO;8.49;7.4;10.0;8.1;6.6;8.5;Mantido na Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.8;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-557;2021;Escola Pública;Escola Pública;Escola Pública;2;M;Veterano;13;INFO INDISPONÍVEL;Ametista;MANTIDO;7.54;9.0;8.3;6.9;5.9;8.1;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;8.9;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-560;2021;Escola Pública;Escola Pública;Escola Pública;2;N;Veterano;11;INFO INDISPONÍVEL;Ágata;MANTIDO;6.49;9.5;4.6;7.5;3.2;8.1;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;7.1;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-561;2021;Escola Pública;Escola Pública;Escola Pública;3;G;Veterano;14;INFO INDISPONÍVEL;Quartzo;MANTIDO;4.74;7.9;1.1;7.5;4.0;6.9;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;4.9;5;NÃ­vel 5 (1o EM);-2.0
ALUNO-562;2021;Rede Decisão;Escola Privada;Escola Privada;2;L;Veterano;10;INFO INDISPONÍVEL;Topázio;AVANÇO;8.42;7.5;7.9;7.5;9.2;8.8;Promovido de Fase + Bolsa;Mantido na Fase + Bolsa;Mantido na Fase atual;NÃ£o avaliado;8.1;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-563;2021;Escola Pública;Escola Pública;Escola Pública;0;T;Ingressante;9;INFO INDISPONÍVEL;Topázio;INGRESSANTE;8.37;9.5;10.0;7.5;7.1;8.1;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;NÃ£o avaliado;9.7;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-564;2021;Escola Pública;Escola Pública;Escola Pública;4;E;Ingressante;14;INFO INDISPONÍVEL;Ágata;QUEDA;5.75;10.0;3.9;7.5;2.8;7.2;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;4.8;10;NÃ­vel 4 (9o ano);0.0
ALUNO-565;2021;Escola Pública;Escola Pública;Escola Pública;1;N;Ingressante;11;INFO INDISPONÍVEL;Topázio;INGRESSANTE;8.38;10.0;8.8;7.5;5.8;8.1;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;9.6;10;NÃ­vel 1 (4o ano);0.0
ALUNO-566;2021;Escola Pública;Escola Pública;Escola Pública;5;B;Ingressante;15;INFO INDISPONÍVEL;Ametista;INGRESSANTE;8.13;8.8;7.8;7.5;7.9;8.4;Promovido de Fase;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;7.6;10;NÃ­vel 5 (1o EM);0.0
ALUNO-567;2021;Escola Pública;Escola Pública;Escola Pública;0;Q;Ingressante;9;INFO INDISPONÍVEL;Ágata;INGRESSANTE;6.88;8.0;5.8;7.5;5.0;7.2;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;7.3;10;ALFA  (2o e 3o ano);0.0
ALUNO-569;2021;Escola Pública;Escola Pública;Escola Pública;1;B;Ingressante;9;INFO INDISPONÍVEL;Topázio;MANTIDO;8.64;10.0;10.0;7.5;7.0;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;8.7;10;NÃ­vel 1 (4o ano);0.0
ALUNO-570;2021;Escola Pública;Escola Pública;Escola Pública;1;R;Veterano;12;INFO INDISPONÍVEL;Quartzo;QUEDA;5.05;9.5;3.3;7.5;2.0;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;5.1;5;NÃ­vel 3 (7o e 8o ano);-2.0
ALUNO-571;2021;Escola Pública;Escola Pública;Escola Pública;3;D;Ingressante;13;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.25;6.7;7.2;7.5;7.6;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;7.9;5;NÃ­vel 4 (9o ano);-1.0
ALUNO-572;2021;Escola Pública;Escola Pública;Escola Pública;0;Q;Ingressante;9;INFO INDISPONÍVEL;Topázio;INGRESSANTE;8.68;7.5;10.0;7.5;6.7;8.4;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;10.0;10;ALFA  (2o e 3o ano);0.0
ALUNO-574;2021;Escola Pública;Escola Pública;Escola Pública;6;C;Veterano;17;INFO INDISPONÍVEL;Ametista;MANTIDO;7.34;8.8;8.6;7.5;5.7;8.0;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;7.8;5;NÃ­vel 7 (3o EM);-1.0
ALUNO-578;2021;Escola Pública;Escola Pública;Escola Pública;0;Q;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.49;8.5;6.7;7.5;5.2;7.2;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;9.0;10;ALFA  (2o e 3o ano);0.0
ALUNO-579;2021;Escola Pública;Escola Pública;Escola Pública;2;H;Veterano;11;INFO INDISPONÍVEL;Ametista;MANTIDO;7.33;8.5;6.3;7.5;5.4;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;8.2;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-583;2021;Escola Pública;Escola Pública;Escola Pública;4;A;Veterano;15;INFO INDISPONÍVEL;Ágata;QUEDA;6.54;6.7;5.6;7.5;5.8;7.7;Promovido de Fase;Mantido na Fase + Bolsa;Promovido de Fase;Promovido de Fase;7.9;5;NÃ­vel 5 (1o EM);-1.0
ALUNO-584;2021;Escola Pública;Escola Pública;Escola Pública;1;C;Ingressante;11;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.04;9.0;8.8;7.5;2.7;8.1;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.9;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-585;2021;Escola Pública;Escola Pública;Escola Pública;2;F;Veterano;16;INFO INDISPONÍVEL;Quartzo;QUEDA;2.73;0.0;1.3;4.4;0.4;6.6;Mantido na Fase atual;NÃ£o avaliado;Mantido na Fase atual;NÃ£o avaliado;5.3;2.5;NÃ­vel 5 (1o EM);-3.0
ALUNO-586;2021;Escola Pública;Escola Pública;Escola Pública;1;J;Veterano;11;INFO INDISPONÍVEL;Ametista;MANTIDO;8.02;8.5;9.6;7.5;7.1;8.1;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;NÃ£o avaliado;8.9;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-588;2021;Escola Pública;Escola Pública;Escola Pública;1;E;Veterano;9;INFO INDISPONÍVEL;Topázio;MANTIDO;8.88;10.0;9.6;7.5;7.8;8.8;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.9;10;NÃ­vel 1 (4o ano);0.0
ALUNO-589;2021;Escola Pública;Escola Pública;Escola Pública;1;R;Veterano;12;INFO INDISPONÍVEL;Ametista;MANTIDO;7.41;7.4;8.3;7.5;6.4;8.1;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;8.3;5;NÃ­vel 3 (7o e 8o ano);-2.0
ALUNO-594;2021;Escola Pública;Escola Pública;Escola Pública;1;C;Veterano;12;INFO INDISPONÍVEL;Ametista;MANTIDO;7.48;9.5;9.2;7.5;4.8;7.9;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.4;5;NÃ­vel 3 (7o e 8o ano);-2.0
ALUNO-595;2021;Escola Pública;Escola Pública;Escola Pública;0;S;Ingressante;9;INFO INDISPONÍVEL;Topázio;INGRESSANTE;8.81;9.5;10.0;7.5;6.9;7.8;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;9.8;10;ALFA  (2o e 3o ano);0.0
ALUNO-596;2021;Escola Pública;Escola Pública;Escola Pública;1;N;Ingressante;11;INFO INDISPONÍVEL;Ágata;INGRESSANTE;6.37;10.0;6.7;7.5;3.0;8.1;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;6.9;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-602;2021;Escola Pública;Escola Pública;Escola Pública;1;E;Ingressante;12;INFO INDISPONÍVEL;Quartzo;QUEDA;4.94;0.0;4.6;7.5;2.3;8.4;Mantido na Fase atual;NÃ£o avaliado;Mantido na Fase atual;NÃ£o avaliado;7.3;5;NÃ­vel 3 (7o e 8o ano);-2.0
ALUNO-603;2021;Escola Pública;Escola Pública;Escola Pública;1;R;Veterano;14;INFO INDISPONÍVEL;Ágata;AVANÇO;5.79;0.0;9.2;3.1;3.3;8.1;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.3;5;NÃ­vel 3 (7o e 8o ano);-2.0
ALUNO-608;2021;Escola Pública;Escola Pública;Escola Pública;4;A;Veterano;15;INFO INDISPONÍVEL;Ametista;MANTIDO;7.31;7.1;7.2;5.0;8.5;7.7;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;8.5;5;NÃ­vel 5 (1o EM);-1.0
ALUNO-610;2021;Escola Pública;Escola Pública;Escola Pública;5;B;Ingressante;15;INFO INDISPONÍVEL;Ametista;INGRESSANTE;6.91;8.8;6.4;7.5;5.8;8.4;Promovido de Fase;Mantido na Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;7.5;5;NÃ­vel 6 (2o EM);-1.0
ALUNO-613;2021;Escola Pública;Escola Pública;Escola Pública;1;R;Veterano;12;INFO INDISPONÍVEL;Ametista;AVANÇO;7.20;9.5;9.2;3.1;5.5;8.3;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;8.3;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-615;2021;Escola Pública;Escola Pública;Escola Pública;1;B;Veterano;9;INFO INDISPONÍVEL;Topázio;MANTIDO;8.36;9.0;8.8;7.5;7.4;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;8.7;10;NÃ­vel 1 (4o ano);0.0
ALUNO-617;2021;Escola Pública;Escola Pública;Escola Pública;0;T;Ingressante;9;INFO INDISPONÍVEL;Topázio;INGRESSANTE;8.58;9.0;10.0;7.5;5.9;8.1;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;NÃ£o avaliado;9.7;10;ALFA  (2o e 3o ano);0.0
ALUNO-619;2021;Escola Pública;Escola Pública;Escola Pública;2;N;Veterano;11;INFO INDISPONÍVEL;Ágata;QUEDA;6.68;7.9;5.0;7.5;4.6;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;7.2;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-620;2021;Escola Pública;Escola Pública;Escola Pública;1;C;Ingressante;11;INFO INDISPONÍVEL;Quartzo;INGRESSANTE;2.94;0.0;1.3;7.5;0.0;6.3;Mantido na Fase atual;NÃ£o avaliado;Mantido na Fase atual;NÃ£o avaliado;4.1;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-622;2021;Escola Pública;Escola Pública;Escola Pública;3;F;Veterano;13;INFO INDISPONÍVEL;Quartzo;QUEDA;5.19;10.0;3.6;7.5;0.7;6.9;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;4.5;10;NÃ­vel 3 (7o e 8o ano);0.0
ALUNO-624;2021;Escola Pública;Escola Pública;Escola Pública;3;F;Veterano;16;INFO INDISPONÍVEL;Ágata;AVANÇO;5.74;7.1;5.0;7.5;5.1;7.1;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;6.5;2.5;NÃ­vel 6 (2o EM);-3.0
ALUNO-627;2021;Escola Pública;Escola Pública;Escola Pública;0;S;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.44;8.0;8.3;7.5;6.9;7.5;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;8.0;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-628;2021;Escola Pública;Escola Pública;Escola Pública;0;O;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;7.44;9.0;8.3;7.5;5.9;7.5;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;8.4;5;NÃ­vel 2 (5o e 6o ano);-2.0
ALUNO-632;2021;Escola Pública;Escola Pública;Escola Pública;0;S;Ingressante;9;INFO INDISPONÍVEL;Ágata;INGRESSANTE;5.89;9.0;5.0;7.5;3.4;7.5;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;NÃ£o avaliado;6.5;5;NÃ­vel 2 (5o e 6o ano);-2.0
ALUNO-634;2021;Escola JP II;Escola Privada;Escola Privada;1;A;Veterano;13;INFO INDISPONÍVEL;Quartzo;QUEDA;3.75;6.3;2.1;6.3;2.4;4.4;NÃ£o avaliado;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;3.3;5;NÃ­vel 3 (7o e 8o ano);-2.0
ALUNO-635;2021;Escola Pública;Escola Pública;Escola Pública;5;F;Veterano;16;INFO INDISPONÍVEL;Quartzo;MANTIDO;4.49;4.6;3.3;5.0;4.8;5.9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;4.0;5;NÃ­vel 6 (2o EM);-1.0
ALUNO-638;2021;Escola Pública;Escola Pública;Escola Pública;2;I;Veterano;14;INFO INDISPONÍVEL;Ágata;MANTIDO;6.78;8.5;6.3;6.9;6.1;7.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;7.7;5;NÃ­vel 4 (9o ano);-2.0
ALUNO-642;2021;Escola Pública;Escola Pública;Escola Pública;1;C;Veterano;10;INFO INDISPONÍVEL;Ametista;MANTIDO;7.08;8.5;7.5;6.3;6.4;6.9;Alocado em Fase anterior;Mantido na Fase atual;Promovido de Fase;NÃ£o avaliado;8.2;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-644;2021;Rede Decisão;Escola Privada;Escola Privada;2;A;Veterano;11;INFO INDISPONÍVEL;Topázio;MANTIDO;9.16;10.0;10.0;5.0;9.4;8.5;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;NÃ£o avaliado;9.7;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-645;2021;Escola Pública;Escola Pública;Escola Pública;0;J;Veterano;9;INFO INDISPONÍVEL;Ágata;QUEDA;6.63;10.0;6.7;7.5;5.3;7.5;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;6.2;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-646;2021;Escola Pública;Escola Pública;Escola Pública;2;D;Veterano;12;INFO INDISPONÍVEL;Ametista;MANTIDO;7.40;9.0;7.9;7.5;6.6;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;7.8;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-647;2021;Escola Pública;Escola Pública;Escola Pública;2;R;Veterano;12;INFO INDISPONÍVEL;Quartzo;QUEDA;3.87;9.5;1.7;5.0;0.0;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;4.3;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-653;2021;Escola Pública;Escola Pública;Escola Pública;0;M;Ingressante;9;INFO INDISPONÍVEL;Ametista;INGRESSANTE;6.94;9.0;5.8;7.5;4.9;7.5;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;7.0;10;ALFA  (2o e 3o ano);0.0
ALUNO-657;2021;Escola Pública;Escola Pública;Escola Pública;2;P;Veterano;12;INFO INDISPONÍVEL;Ametista;QUEDA;8.05;9.5;6.3;7.5;8.5;9.0;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;NÃ£o avaliado;10.0;5;NÃ­vel 3 (7o e 8o ano);-1.0
ALUNO-658;2021;Escola Pública;Escola Pública;Escola Pública;0;N;Ingressante;9;INFO INDISPONÍVEL;Ágata;INGRESSANTE;5.62;9.5;4.2;7.5;2.8;7.8;Mantido na Fase atual;Mantido na Fase + Bolsa;NÃ£o avaliado;NÃ£o avaliado;6.2;5;NÃ­vel 1 (4o ano);-1.0
ALUNO-659;2021;Escola Pública;Escola Pública;Escola Pública;3;B;Veterano;12;INFO INDISPONÍVEL;Quartzo;MANTIDO;5.35;8.3;3.6;7.5;1.3;7.8;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;NÃ£o avaliado;5.1;10;NÃ­vel 3 (7o e 8o ano);0.0
ALUNO-660;2021;Escola Pública;Escola Pública;Escola Pública;5;B;Ingressante;15;INFO INDISPONÍVEL;Quartzo;INGRESSANTE;5.34;8.3;4.7;0.0;5.3;7.9;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;NÃ£o avaliado;6.0;5;NÃ­vel 7 (3o EM);-2.0
ALUNO-663;2021;Escola Pública;Escola Pública;Escola Pública;2;D;Veterano;11;INFO INDISPONÍVEL;Quartzo;QUEDA;5.48;7.8;2.9;7.5;3.3;6.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;5.2;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-664;2021;Rede Decisão;Escola Privada;Escola Privada;5;A;Veterano;16;INFO INDISPONÍVEL;Topázio;MANTIDO;8.68;10.0;8.6;7.5;9.3;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;9.9;5;NÃ­vel 6 (2o EM);-1.0
ALUNO-668;2021;Escola Pública;Escola Pública;Escola Pública;2;J;Veterano;11;INFO INDISPONÍVEL;Ágata;QUEDA;6.72;8.0;5.8;7.5;4.5;7.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;NÃ£o avaliado;6.8;10;NÃ­vel 2 (5o e 6o ano);0.0
ALUNO-670;2021;Rede Decisão;Escola Privada;Escola Privada;6;A;Veterano;17;INFO INDISPONÍVEL;Ametista;MANTIDO;7.87;7.9;7.5;7.5;7.9;9.2;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;9.2;5;NÃ­vel 7 (3o EM);-1.0
ALUNO-671;2021;Escola Pública;Escola Pública;Escola Pública;1;E;Veterano;11;INFO INDISPONÍVEL;Ametista;MANTIDO;7.96;9.0;9.6;6.3;7.4;8.3;Promovido de Fase;Promovido de Fase;Promovido de Fase;NÃ£o avaliado;8.5;5;NÃ­vel 2 (5o e 6o ano);-1.0
ALUNO-672;2021;Escola Pública;Escola Pública;Escola Pública;1;N;Veterano;10;INFO INDISPONÍVEL;Quartzo;QUEDA;5.41;9.5;3.3;7.5;2.3;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;NÃ£o avaliado;6.6;5;NÃ­vel 2 (5o e 6o ano);-1.0
