NOME;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;RA;FASE;TURMA;Ano nasc;IDADE_ALUNO;GÊNERO;Ano ingresso;Pedra 20;Pedra 21;PEDRA;INDE;ATINGIU_PV;STATUS_PEDRA;TESTE;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;Avaliador3;Rec Av3;Avaliador4;Rec Av4;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Matem;Portug;Inglês;Indicado;Atingiu PV;IPV;IAN;FASE IDEAL;DEFASAGEM;Destaque IEG;Destaque IDA;Destaque IPV
Aluno-353;2022;Escola Pública;Escola Pública;Escola Pública;RA-353;2;D;2011;11;Feminino;2022;;;Topázio;8,264;INGRESSANTE;INGRESSANTE;OK;69;7;1;3;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;;;7;10;7,5;5,62;Não atendido;7,5;8;7;;Não;Sim;8,444;10;Fase 2 (5º e 6º ano);0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-354;2022;Escola Pública;Escola Pública;Escola Pública;RA-354;2;D;2009;13;Feminino;2018;Ametista;Ágata;Quartzo;5,858;QUEDA;QUEDA;OK;742;136;9;3;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;;;8,5;4,3;7,5;4,58;Não atendido;4,5;2,8;6,2;;Não;Não;7,333;5;Fase 3 (7º e 8º ano);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-355;2022;Escola Pública;Escola Pública;Escola Pública;RA-355;2;D;2010;12;Feminino;2018;Ametista;Quartzo;Quartzo;5,379;MANTIDO;MANTIDO;OK;796;151;11;3;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;;;5,8;5;7,5;4,38;Não atendido;4,5;5,5;3,5;;Não;Não;6,056;5;Fase 3 (7º e 8º ano);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-356;2022;Escola Pública;Escola Pública;Escola Pública;RA-356;2;D;2010;12;Masculino;2019;Topázio;Topázio;Ágata;6,69;QUEDA;QUEDA;OK;591;97;6;3;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;;;10;8,4;5;4,38;Requer avaliação;4,6;5,3;3,8;;Não;Não;8,278;5;Fase 3 (7º e 8º ano);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-357;2022;Escola Pública;Escola Pública;Escola Pública;RA-357;2;D;2010;12;Masculino;2022;;;Ametista;7,836;INGRESSANTE;INGRESSANTE;OK;190;30;3;3;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;;;8;9,6;7,5;6,46;Não atendido;8,5;10;7;;Não;Não;7,778;5;Fase 3 (7º e 8º ano);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-358;2022;Escola Pública;Escola Pública;Escola Pública;RA-358;2;D;2009;13;Masculino;2022;;;Quartzo;5,412;INGRESSANTE;INGRESSANTE;OK;795;150;10;3;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;;;7,5;6,5;7,5;6,04;Não atendido;0;0;0;;Não;Não;7,556;5;Fase 3 (7º e 8º ano);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-359;2022;Escola Pública;Escola Pública;Escola Pública;RA-359;2;D;2010;12;Feminino;2019;Ametista;Ágata;Ágata;6,606;MANTIDO;MANTIDO;OK;625;108;8;3;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;;;9;7;7,5;7,19;Não atendido;4,6;3,3;5,8;;Não;Não;7,5;5;Fase 3 (7º e 8º ano);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-36;2022;Rede Decisão;Escola Privada;Escola Privada;RA-36;6;A;2005;17;Feminino;2019;Topázio;Ametista;Ametista;7,876;MANTIDO;MANTIDO;OK;177;7;7;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;9,2;9;6,9;5,31;Sem limitações;6,8;8,5;4,3;7,8;Não;Sim;8,944;5;Fase 7 (3º EM);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-360;2022;Escola Pública;Escola Pública;Escola Pública;RA-360;2;D;2010;12;Feminino;2019;Ametista;Ágata;Ametista;7,075;AVANÇO;AVANÇO;OK;463;70;5;3;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;;;9,5;8,5;7,5;6,46;Não atendido;5,2;4,7;5,7;;Não;Não;7,5;5;Fase 3 (7º e 8º ano);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-361;2022;Escola Pública;Escola Pública;Escola Pública;RA-361;2;F;2009;13;Feminino;2022;;;Ágata;6,731;INGRESSANTE;INGRESSANTE;OK;576;93;16;3;Avaliador-5;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;7,9;9,2;6,3;6,04;Sem limitações;5;4;6;;Não;Não;6,778;5;Fase 3 (7º e 8º ano);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-362;2022;Escola Pública;Escola Pública;Escola Pública;RA-362;2;F;2010;12;Feminino;2018;Ágata;Quartzo;Ametista;7,413;AVANÇO;AVANÇO;OK;350;51;7;3;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Promovido de Fase;;;8,5;7,9;7,5;5,62;Sem limitações;7,9;6,5;9,3;;Não;Não;7,5;5;Fase 3 (7º e 8º ano);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-363;2022;Escola Pública;Escola Pública;Escola Pública;RA-363;2;F;2010;12;Masculino;2022;;;Ágata;6,644;INGRESSANTE;INGRESSANTE;OK;610;104;17;3;Avaliador-5;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;10;10;6,9;6,46;Sem limitações;2;1;3;;Não;Não;7,056;5;Fase 3 (7º e 8º ano);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-364;2022;Escola Pública;Escola Pública;Escola Pública;RA-364;2;F;2011;11;Masculino;2019;Ametista;Topázio;Topázio;8,75;MANTIDO;MANTIDO;OK;12;1;1;3;Avaliador-5;Promovido de Fase;Avaliador-2;Mantido na Fase atual;Avaliador-15;Promovido de Fase;;;9,5;10;7,5;6,67;Sem limitações;8,8;9,5;8;;Não;Não;8,167;10;Fase 2 (5º e 6º ano);0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-365;2022;Escola Pública;Escola Pública;Escola Pública;RA-365;2;F;2012;10;Feminino;2022;;;Topázio;8,063;INGRESSANTE;INGRESSANTE;OK;129;17;3;3;Avaliador-5;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;Avaliador-15;Mantido na Fase atual;;;8;10;5;5,62;Sem limitações;7,8;6;9,5;;Não;Não;7,833;10;Fase 2 (5º e 6º ano);0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-366;2022;Escola Pública;Escola Pública;Escola Pública;RA-366;2;F;2010;12;Masculino;2022;;;Ametista;7,181;INGRESSANTE;INGRESSANTE;OK;437;67;9;3;Avaliador-5;Mantido na Fase atual;Avaliador-2;Promovido de Fase;Avaliador-15;Mantido na Fase atual;;;9,5;9,4;7,5;6,25;Sem limitações;5,5;6;5;;Não;Não;6,833;5;Fase 3 (7º e 8º ano);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
