NOME;ANO;Instituição de Ensino;CONSULTA;INSTITUICAO_ENSINO_ALUNO;RA;FASE;TURMA;Ano nasc;IDADE_ALUNO;GÊNERO;Ano ingresso;Pedra 20;Pedra 21;PEDRA;INDE;ATINGIU_PV;STATUS_PEDRA;TESTE;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;Avaliador3;Rec Av3;Avaliador4;Rec Av4;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Matem;Portug;Inglês;Indicado;Atingiu PV;IPV;IAN;FASE IDEAL;DEFASAGEM;Destaque IEG;Destaque IDA;Destaque IPV
Aluno-1;2022;Escola Pública;Escola Pública;Escola Pública;RA-1;7;A;2003;19;Feminino;2016;Ametista;Ametista;Quartzo;5,783;QUEDA;QUEDA;OK;753;18;10;4;Avaliador-5;Mantido na Fase atual;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase;Avaliador-31;Mantido na Fase atual;8,3;4,1;5,6;7,97;Requer avaliação;4;2,7;3,5;6;Sim;Não;7,278;5;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-10;2022;Escola Pública;Escola Pública;Escola Pública;RA-10;7;A;2004;18;Feminino;2021;;Ágata;Quartzo;5,784;QUEDA;QUEDA;OK;752;17;9;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;8,3;5,2;5;6,72;Requer avaliação;4,1;3,3;2,6;6,4;Não;Não;7,056;5;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-100;2022;Rede Decisão;Escola Privada;Escola Privada;RA-100;4;A;2009;13;Feminino;2019;Ametista;Topázio;Ametista;7,618;QUEDA;QUEDA;OK;268;22;7;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,8;7,8;5;6,67;Não indicado;7,6;7;7,8;8,1;Não;Não;7,25;10;Fase 3 (7º e 8º ano);1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-101;2022;Escola Pública;Escola Pública;Escola Pública;RA-101;4;A;2007;15;Feminino;2021;;Ametista;Ametista;7,305;MANTIDO;MANTIDO;OK;387;31;8;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,9;8,3;7,5;6,04;Não atendido;7,6;7,2;6,5;9,2;Sim;Não;6,833;5;Fase 5 (1º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-102;2022;Escola Pública;Escola Pública;Escola Pública;RA-102;4;A;2008;14;Masculino;2019;Ametista;Ametista;Ágata;6,922;QUEDA;QUEDA;OK;519;43;9;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;6,7;7,7;6,9;6,88;Requer avaliação;5,7;4,7;6,8;5,5;Não;Não;6;10;Fase 4 (9º ano);0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-103;2022;Rede Decisão;Escola Privada;Escola Privada;RA-103;4;A;2009;13;Feminino;2020;Ágata;Ametista;Topázio;8,107;AVANÇO;AVANÇO;OK;114;11;4;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,9;8,7;7,5;8,44;Não atendido;7,3;7,3;7,3;7,3;Não;Não;7,708;10;Fase 3 (7º e 8º ano);1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-104;2022;Escola Pública;Escola Pública;Escola Pública;RA-104;4;A;2004;18;Masculino;2022;;;Ágata;6,315;INGRESSANTE;INGRESSANTE;OK;681;61;11;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;7,9;8,7;7,5;6,04;Não atendido;3,7;4,8;5,8;0,3;Não;Não;6,708;2,5;Fase 8 (Universitários);-4;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-105;2022;Rede Decisão;Escola Privada;Escola Privada;RA-105;4;A;2005;17;Masculino;2016;Ametista;Ametista;Ágata;6,846;QUEDA;QUEDA;OK;542;47;10;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,9;8,2;5,6;6,04;Requer avaliação;6,7;7,2;6,2;6,8;Não;Não;7,417;2,5;Fase 7 (3º EM);-3;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-106;2022;Rede Decisão;Escola Privada;Escola Privada;RA-106;4;A;2007;15;Feminino;2016;Topázio;Ametista;Ametista;7,973;MANTIDO;MANTIDO;OK;148;13;5;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;9,2;8;9,4;8,59;Sem limitações;7,4;7,8;7,2;7,2;Não;Sim;8,375;5;Fase 5 (1º EM);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-107;2022;Escola Pública;Escola Pública;Escola Pública;RA-107;4;A;2007;15;Feminino;2018;Topázio;Ágata;Ágata;6,258;MANTIDO;MANTIDO;OK;693;63;12;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,5;6,4;7,5;7,97;Sem limitações;4,6;3,3;4,3;6;Sim;Não;6,5;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-108;2022;Escola Pública;Escola Pública;Escola Pública;RA-108;4;A;2005;17;Feminino;2019;Ágata;Ágata;Quartzo;5,547;QUEDA;QUEDA;OK;784;72;15;4;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;4,6;7,7;5;7,03;Não indicado;5;3;5,8;6,2;Não;Não;6,125;2,5;Fase 7 (3º EM);-3;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-109;2022;Rede Decisão;Escola Privada;Escola Privada;RA-109;4;A;2006;16;Masculino;2021;;Ametista;Topázio;8,512;AVANÇO;AVANÇO;OK;33;4;2;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,8;10;8,8;5,94;Sem limitações;8,4;7,8;7,5;9,9;Não;Sim;8,667;5;Fase 6 (2º EM);-2;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-11;2022;Escola Pública;Escola Pública;Escola Pública;RA-11;7;A;2004;18;Feminino;2016;Quartzo;Ágata;Quartzo;5,323;QUEDA;QUEDA;OK;799;19;11;4;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;9,2;4,2;5;7,03;Requer avaliação;3;1,8;2,5;4,5;Não;Não;6,389;5;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-110;2022;Rede Decisão;Escola Privada;Escola Privada;RA-110;4;A;2008;14;Masculino;2017;Ametista;Topázio;Topázio;8,15;MANTIDO;MANTIDO;OK;100;10;3;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase + Bolsa;9,2;9,7;5,6;5,62;Requer avaliação;6,7;8,3;5,7;6;Não;Não;8;10;Fase 4 (9º ano);0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-111;2022;Rede Decisão;Escola Privada;Escola Privada;RA-111;4;A;2009;13;Feminino;2020;Ametista;Topázio;Topázio;8,646;MANTIDO;MANTIDO;OK;22;2;1;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,5;9,4;8,1;5,94;Sem limitações;8;6,7;7,5;9,7;Não;Sim;8,667;10;Fase 3 (7º e 8º ano);1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-112;2022;Rede Decisão;Escola Privada;Escola Privada;RA-112;4;A;2007;15;Feminino;2016;Ametista;Ametista;Ametista;7,836;MANTIDO;MANTIDO;OK;189;17;6;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,9;7,8;6,3;6,67;Sem limitações;8,5;9;7,5;9,1;Não;Sim;8,833;5;Fase 5 (1º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-113;2022;Rede Decisão;Escola Privada;Escola Privada;RA-113;4;A;2007;15;Feminino;2017;Ametista;Ágata;Quartzo;3,032;QUEDA;QUEDA;OK;862;76;16;4;Avaliador-6;Alocado em Fase anterior;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Alocado em Fase anterior;0;0;5;5,31;Não indicado;3,7;3,3;5,5;2,3;Não;Não;3,792;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-114;2022;Escola Pública;Escola Pública;Escola Pública;RA-114;4;A;2006;16;Masculino;2022;;;Quartzo;5,894;INGRESSANTE;INGRESSANTE;OK;738;66;13;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Alocado em Fase anterior;7,9;6,3;7,5;6,46;Sem limitações;5,3;6;4,5;;Não;Não;5;5;Fase 6 (2º EM);-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-115;2022;Escola Pública;Escola Pública;Escola Pública;RA-115;4;A;2006;16;Feminino;2019;Ametista;Ametista;Quartzo;5,886;QUEDA;QUEDA;OK;740;67;14;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;8,3;6,8;6,3;5,47;Requer avaliação;3,8;3;5,7;2,7;Não;Não;5,583;5;Fase 6 (2º EM);-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-116;2022;Escola Pública;Escola Pública;Escola Pública;RA-116;4;B;2006;16;Feminino;2019;Ametista;Ágata;Ágata;6,854;MANTIDO;MANTIDO;OK;538;46;8;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;5,8;8,1;6,3;7,66;Sem limitações;5,9;5;7,2;5,5;Sim;Não;7,792;5;Fase 6 (2º EM);-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-117;2022;Escola Pública;Escola Pública;Escola Pública;RA-117;4;B;2007;15;Feminino;2022;;;Ágata;6,685;INGRESSANTE;INGRESSANTE;OK;593;55;10;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;7,9;6,3;6,9;7,5;Requer avaliação;6,1;4,7;6,7;7;Não;Não;7,417;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-118;2022;Escola Pública;Escola Pública;Escola Pública;RA-118;4;B;2008;14;Feminino;2021;;Ametista;Quartzo;5,597;QUEDA;QUEDA;OK;775;70;12;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;0;5,3;6,3;7,34;Sem limitações;3,9;3,7;4,7;3,5;Não;Não;6,958;10;Fase 4 (9º ano);0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-119;2022;Rede Decisão;Escola Privada;Escola Privada;RA-119;4;B;2008;14;Feminino;2016;Ametista;Ágata;Ametista;7,501;AVANÇO;AVANÇO;OK;311;26;3;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,3;8,2;5,6;7,5;Requer avaliação;5,4;5,7;7;3,4;Não;Não;7,875;10;Fase 4 (9º ano);0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-12;2022;Escola Pública;Escola Pública;Escola Pública;RA-12;7;A;2005;17;Feminino;2020;Ágata;Ágata;Quartzo;4,832;QUEDA;QUEDA;OK;834;20;12;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;0;4;6,9;7,66;Sem limitações;1,5;2,7;1,1;0,7;Sim;Não;6,389;10;Fase 7 (3º EM);0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-120;2022;Escola Pública;Escola Pública;Escola Pública;RA-120;4;B;2007;15;Masculino;2019;Ametista;Ametista;Ágata;6,825;QUEDA;QUEDA;OK;547;48;9;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,3;5,9;7,5;4,69;Não atendido;6,2;3,7;5,2;9,7;Sim;Não;7,667;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-121;2022;Escola Pública;Escola Pública;Escola Pública;RA-121;4;B;2006;16;Feminino;2021;;Ágata;Ametista;7,245;AVANÇO;AVANÇO;OK;413;33;5;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,1;8,4;6,3;7,81;Sem limitações;7,2;5,7;6,8;9;Sim;Não;7,625;5;Fase 6 (2º EM);-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-122;2022;Escola Pública;Escola Pública;Escola Pública;RA-122;4;B;2008;14;Feminino;2019;Ágata;Quartzo;Quartzo;5,061;MANTIDO;MANTIDO;OK;818;74;14;4;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Alocado em Fase anterior;7,9;3,4;7,5;6,25;Não atendido;1,8;1,7;3,7;0;Não;Não;4,958;10;Fase 4 (9º ano);0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-123;2022;Rede Decisão;Escola Privada;Escola Privada;RA-123;4;B;2006;16;Masculino;2017;Ametista;Ametista;Ametista;7,084;MANTIDO;MANTIDO;OK;461;37;6;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,9;8,6;5,6;7,5;Requer avaliação;6,5;7,3;6,3;5,9;Não;Não;7,292;5;Fase 6 (2º EM);-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-124;2022;Rede Decisão;Escola Privada;Escola Privada;RA-124;4;B;2008;14;Masculino;2016;Ametista;Ametista;Ametista;7,388;MANTIDO;MANTIDO;OK;365;29;4;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;7,9;7,8;5;4,06;Requer avaliação;6,7;5,7;7;7,5;Não;Não;7,167;10;Fase 4 (9º ano);0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-125;2022;Escola Pública;Escola Pública;Escola Pública;RA-125;4;B;2007;15;Feminino;2022;;;Ametista;7,619;INGRESSANTE;INGRESSANTE;OK;266;21;2;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,8;8,5;7,5;6,04;Não atendido;7,1;5;7,2;9,2;Sim;Não;7,75;5;Fase 5 (1º EM);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-126;2022;Escola Pública;Escola Pública;Escola Pública;RA-126;4;B;2007;15;Masculino;2018;Ametista;Ametista;Ágata;6,289;QUEDA;QUEDA;OK;689;62;11;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,1;5,8;7,5;6,25;Não atendido;4,4;4;5;4,2;Sim;Não;7,417;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-127;2022;Escola Pública;Escola Pública;Escola Pública;RA-127;4;B;2008;14;Feminino;2022;;;Topázio;8,283;INGRESSANTE;INGRESSANTE;OK;63;7;1;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,5;8,7;7,5;6,46;Não atendido;7,9;7,7;7,7;8,3;Sim;Não;8,125;10;Fase 4 (9º ano);0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-128;2022;Escola Pública;Escola Pública;Escola Pública;RA-128;4;B;2007;15;Masculino;2019;Ametista;Ágata;Quartzo;5,563;QUEDA;QUEDA;OK;778;71;13;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;0;6,2;7,5;7,34;Não atendido;5,6;6,7;6,8;3,2;Sim;Não;6,167;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-129;2022;Escola Pública;Escola Pública;Escola Pública;RA-129;4;B;2007;15;Masculino;2019;Ametista;Ametista;Ágata;6,926;QUEDA;QUEDA;OK;516;42;7;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;6,7;6,4;7,5;5,31;Não atendido;6,7;6;5,3;8,7;Sim;Não;7,792;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-13;2022;Escola Pública;Escola Pública;Escola Pública;RA-13;7;A;2004;18;Masculino;2016;Ametista;Ametista;Ágata;6,902;QUEDA;QUEDA;OK;524;10;4;4;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7,9;7,4;7,5;4,69;Sem limitações;4,7;3,5;5,5;5,2;Sim;Não;8,056;5;Fase 8 (Universitários);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-130;2022;Escola Pública;Escola Pública;Escola Pública;RA-130;4;F;2006;16;Feminino;2018;Quartzo;Ágata;Quartzo;5,624;QUEDA;QUEDA;OK;772;69;14;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;8,3;4,7;5;7,19;Requer avaliação;4,1;3,7;5,2;3,5;Não;Não;6,5;5;Fase 6 (2º EM);-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-131;2022;Escola Pública;Escola Pública;Escola Pública;RA-131;4;F;2007;15;Feminino;2016;Topázio;Ametista;Ametista;7,174;MANTIDO;MANTIDO;OK;440;35;7;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,8;9;5,6;7,34;Sem limitações;5,6;6;6,5;4,2;Sim;Não;7,75;5;Fase 5 (1º EM);-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-132;2022;Rede Decisão;Escola Privada;Escola Privada;RA-132;4;F;2008;14;Feminino;2019;Topázio;Ametista;Topázio;8,355;AVANÇO;AVANÇO;OK;53;5;2;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;10;8,8;5,6;8,12;Sem limitações;7,7;6,5;7,5;9,1;Não;Sim;8,458;10;Fase 4 (9º ano);0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-133;2022;Escola Pública;Escola Pública;Escola Pública;RA-133;4;F;2007;15;Feminino;2016;Ametista;Quartzo;Ágata;6,875;AVANÇO;AVANÇO;OK;530;45;10;4;Avaliador-6;Promovido de Fase;Avaliador-27;Promovido de Fase;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;7,9;7,1;7,5;7,66;Não atendido;5,6;4,7;7,2;5;Não;Não;7,625;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-134;2022;Escola Pública;Escola Pública;Escola Pública;RA-134;4;F;2007;15;Feminino;2021;;Ágata;Ágata;6,607;MANTIDO;MANTIDO;OK;623;56;12;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;8,8;6,8;7,5;5,62;Não atendido;4,7;4,7;6,8;2,5;Sim;Não;7,375;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-135;2022;Escola Pública;Escola Pública;Escola Pública;RA-135;4;F;2007;15;Feminino;2019;Topázio;Ametista;Ametista;7,692;MANTIDO;MANTIDO;OK;237;20;4;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-30;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;8,3;7,8;5,6;8,12;Sem limitações;8,6;8;8,2;9,5;Sim;Sim;8,583;5;Fase 5 (1º EM);-1;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
Aluno-136;2022;Escola Pública;Escola Pública;Escola Pública;RA-136;4;F;2007;15;Masculino;2019;Ágata;Ágata;Ágata;6,478;MANTIDO;MANTIDO;OK;646;59;13;4;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;10;6,3;7,5;7,03;Não atendido;4,6;5,3;5,7;2,8;Não;Não;6,667;5;Fase 5 (1º EM);-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
Aluno-137;2022;Rede Decisão;Escola Privada;Escola Privada;RA-137;4;F;2005;17;Feminino;2016;Quartzo;Ágata;Ametista;7,056;AVANÇO;AVANÇO;OK;468;38;9;4;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;7,5;8,9;5;7,66;Requer avaliação;7,3;6;7,3;8,5;Não;Não;7,792;2,5;Fase 7 (3º EM);-3;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.
